매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구
117776.2543,2020,골목상권,2110965,언주역 6번,1,0,0,0,0,1,0,0,2309,1512,1139,168558,0,0,0,2,65107,0,0,0,122421.4,96468.0,694,2861.369832551415,0.0,1.0751532093323297,0.30718663123780854,0.49328713728886964
73069.81868,2020,골목상권,2110966,논현2동주민센터,1,0,0,0,0,1,0,0,2887,1539,1637,365530,0,0,0,2,93544,0,0,0,341298.6,237948.5,843,2861.336653314978,0.0,0.641409390233473,0.9621140853502095,0.5670245930031175
282864.2442,2020,골목상권,2110967,역삼역 8번,1,0,0,0,0,1,0,0,1307,877,377,135009,0,0,0,3,68671,0,0,0,100603.2,73712.5,379,2861.4842935871925,0.0,1.310596904078869,1.019353147616898,0.2884468247895945
380182.884,2020,골목상권,2110971,선정릉역 4번,1,0,0,0,0,1,0,0,3836,2425,1542,207050,1,1,0,4,133221,0,0,0,127388.6,101139.0,1637,2861.6674120428534,0.0,0.675569167023217,0.5254426854625022,0.40198123044838374
12249.52747,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,1,0,0,0,0,1,0,0,1995,1013,2628,67624,0,0,0,0,46603,0,0,0,33195.6,30721.0,630,2861.0047734645386,0.0,0.6437353818423708,0.42915692122824706,1.3172932330827067
123777.8022,2020,골목상권,2110974,언주중학교,1,0,0,0,0,1,0,0,1479,770,292,186263,0,0,0,0,35150,0,0,0,106913.6,95530.0,535,2860.7414421201483,0.0,1.7069701280227596,0.5689900426742532,0.19743069641649763
84833.38828,2020,골목상권,2110975,매봉역 1번,1,0,0,0,0,1,0,0,944,361,10837,56700,0,0,0,0,52363,9097,10593,1,41178.2,39197.5,250,2860.478417721032,0.5729236292802169,1.1458472585604338,2.100719974027462,11.479872881355933
45202.32967,2020,골목상권,2110976,언북초등학교,1,0,0,0,0,1,0,0,2011,1046,578,166711,0,0,0,0,55724,0,0,0,112431.6,100433.0,476,2860.8340337284158,0.0,1.076735338453808,0.3589117794846027,0.2874191944306315
45050.42002,2020,골목상권,2110977,논현로18길,1,0,0,0,0,1,0,0,707,335,148,32101,0,0,0,0,17287,0,0,0,19525.2,16803.5,108,2860.839797909136,0.0,5.206224330421704,0.0,0.20933521923620935
60238.17216,2020,골목상권,2110980,개포지구대옆,1,0,0,0,0,1,0,0,2707,1114,663,164104,0,0,0,0,85827,0,0,0,94194.0,83731.0,679,2861.235564491598,0.0,0.3495403544339194,0.23302690295594627,0.2449205762837089
