매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구,시간대_디코딩,분기_디코딩
68735.03755,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),4522,1948,1556,326912,0,0,0,1,137097,199,0,0,138894.4,135025.0,1079,2861.6481110221043,0.0729410563323778,0.8752926759885337,1.0211747886532894,0.3440955329500221,1,1
198378.8095,2020,골목상권,2110985,청담근린공원,980,472,1338,69924,0,0,0,0,43265,0,0,0,47036.8,41559.5,239,2861.7092144016965,0.0,0.6934011325551832,0.2311337108517277,1.3653061224489795,1,1
52457.19414,2020,골목상권,2110988,청담역 3번,1340,480,1594,36951,0,0,0,0,79185,0,30923,1,28663.2,27452.5,345,2862.006176574364,0.0,0.3788596325061564,0.6314327208435941,1.18955223880597,1,1
86405.76557,2020,골목상권,2110989,대치동아우편취급국,1575,908,444,133641,2,0,0,3,40587,0,0,0,96225.0,75905.0,671,2862.3886791479363,0.0,2.217458792224112,1.7246901717298642,0.2819047619047619,1,1
78996.98535,2020,골목상권,2110992,도곡초등학교,8040,3724,2179,519625,2,0,0,1,138866,0,0,0,259506.8,275067.0,1927,2861.757591097582,0.0,1.2962136160039175,0.5760949404461855,0.2710199004975124,1,1
47709.76923,2020,골목상권,2110994,개포고등학교,1706,744,494,196928,1,0,0,4,61589,0,0,0,83572.4,84549.0,321,2860.287906760539,0.0,0.9741999383006704,2.7602331585185667,0.2895662368112544,1,1
35593.65568,2020,골목상권,2110995,봉은사역 4번,2888,1115,5085,148306,0,0,0,0,122756,0,0,0,81447.0,76941.5,893,2860.5226100550226,0.0814624132425299,0.2443872397275897,0.5702368926977093,1.7607340720221607,1,1
52810.58608,2020,골목상권,2110996,대치2동주민센터,1545,729,1959,156870,1,0,0,0,112840,3,0,0,107049.8,98040.0,727,2860.1707444758786,0.0886210563629918,0.2658631690889755,0.3544842254519674,1.2679611650485436,1,1
188701.8599,2020,골목상권,2110997,대청초등학교,7401,3439,1724,899751,0,2,0,6,236963,7721,0,0,388234.2,378576.5,739,2859.3324822860773,0.5486088545469123,1.0128163468558382,2.1522347370686563,0.2329414943926496,1,1
222523.3993,2020,골목상권,2110999,윗방죽마을공원,3125,2339,268,31529,0,1,0,0,239796,3133,0,0,16159.4,17144.0,17,2859.110954153696,0.1668084538524412,0.2502126807786619,0.1668084538524412,0.08576,1,1
0.0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),458,199,39,3537,0,0,0,0,52892,603,0,0,9192.2,8739.5,0,2859.349750384594,0.1890645088104061,0.5671935264312183,0.9453225440520304,0.0851528384279476,1,1
0.0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,317,0,317,0,0,0,0,0,59240,570,0,0,10.8,78.0,0,2860.1657294472543,0.1688048615800134,0.5064145847400405,0.5064145847400405,1.0,1,1
175753.2619,2020,골목상권,2110949,한남IC,618,300,1683,81074,0,0,0,0,62126,0,0,0,59781.2,51582.0,112,2860.1657294472543,0.0,0.965779222869652,0.3219264076232173,2.7233009708737863,1,2
